time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,,
7.93182,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.947993,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.965833,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.981105,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.997571,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.013398,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.029263,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.046136,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.063375,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.096189,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.110819,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.126012,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.145229,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.163528,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.195948,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.212251,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.243453,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.259562,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.292473,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.05305, 0.02409, 0.32781),(-0.00552, 0.01762, 0.36494),(0.02604, 0.09360, 0.40420),(0.05772, 0.08212, 0.42344),(0.08025, 0.05407, 0.42633),(0.05485, -0.00221, 0.39181),
8.337694,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.04659, 0.02436, 0.32714),(-0.01280, 0.01816, 0.36448),(0.01751, 0.09630, 0.40051),(0.04899, 0.08707, 0.42000),(0.07489, 0.06172, 0.42253),(0.05276, 0.00503, 0.39908),
8.341973,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.04514, 0.02491, 0.32786),(-0.01438, 0.01877, 0.36520),(0.01585, 0.09724, 0.40084),(0.04741, 0.08833, 0.42034),(0.07402, 0.06351, 0.42289),(0.05184, 0.00636, 0.40061),
8.360769,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.03862, 0.02741, 0.33112),(-0.02123, 0.02141, 0.36848),(0.00882, 0.10063, 0.40318),(0.04055, 0.09248, 0.42270),(0.06883, 0.06892, 0.42528),(0.04656, 0.01066, 0.40576),
8.377946,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.03862, 0.02741, 0.33112),(-0.02123, 0.02141, 0.36848),(0.00882, 0.10063, 0.40318),(0.04055, 0.09248, 0.42270),(0.06883, 0.06892, 0.42528),(0.04656, 0.01066, 0.40576),
