time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,,
14.44572,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10658, -0.04095, 0.25097),(0.05360, -0.03553, 0.28566),(0.05251, -0.00245, 0.30130),(0.05183, -0.03613, 0.29766),(0.06661, -0.05164, 0.29999),(0.08493, -0.05577, 0.30191),
14.4782,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10467, -0.04027, 0.25574),(0.05066, -0.03796, 0.29062),(0.04638, -0.01719, 0.30443),(0.04952, -0.03712, 0.30635),(0.06529, -0.05188, 0.30863),(0.08443, -0.05641, 0.30906),
14.49552,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10362, -0.03988, 0.25826),(0.04942, -0.03850, 0.29334),(0.04426, -0.02151, 0.30638),(0.04844, -0.03738, 0.31006),(0.06451, -0.05186, 0.31231),(0.08389, -0.05646, 0.31227),
14.51302,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10124, -0.03911, 0.26123),(0.04581, -0.04231, 0.29543),(0.04034, -0.02932, 0.30752),(0.04499, -0.03957, 0.31527),(0.06234, -0.05306, 0.31769),(0.08252, -0.05769, 0.31670),
14.54635,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.09781, -0.03620, 0.26714),(0.04146, -0.04119, 0.30075),(0.03652, -0.03070, 0.31240),(0.04127, -0.03595, 0.32396),(0.05940, -0.04917, 0.32677),(0.08031, -0.05495, 0.32489),
14.56359,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.09567, -0.03382, 0.26965),(0.03818, -0.04244, 0.30256),(0.03383, -0.03314, 0.31528),(0.03916, -0.03596, 0.32881),(0.05869, -0.04765, 0.33250),(0.08065, -0.05368, 0.32969),
14.59565,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.09171, -0.02519, 0.27570),(0.03275, -0.03855, 0.30669),(0.02866, -0.02947, 0.32405),(0.03521, -0.03133, 0.33865),(0.05657, -0.04162, 0.34305),(0.08036, -0.04825, 0.33866),
14.61383,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.08953, -0.02061, 0.27896),(0.03015, -0.03563, 0.30922),(0.02603, -0.02654, 0.32786),(0.03287, -0.02817, 0.34282),(0.05476, -0.03812, 0.34737),(0.07907, -0.04485, 0.34258),
14.6494,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.08667, -0.00804, 0.28506),(0.02624, -0.02340, 0.31501),(0.02254, -0.01212, 0.33773),(0.03088, -0.01423, 0.35260),(0.05383, -0.02414, 0.35752),(0.07901, -0.03239, 0.35114),
14.69136,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.08218, 0.01337, 0.29260),(0.01804, -0.00584, 0.31958),(0.01614, 0.00789, 0.34912),(0.02679, 0.00544, 0.36511),(0.05239, -0.00362, 0.37010),(0.07969, -0.01279, 0.36154),
14.72408,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.08109, 0.01829, 0.29456),(0.01694, -0.00092, 0.32154),(0.01505, 0.01280, 0.35109),(0.02570, 0.01035, 0.36708),(0.05131, 0.00130, 0.37208),(0.07861, -0.00787, 0.36351),
14.76431,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.08078, 0.01913, 0.29327),(0.01161, 0.00621, 0.31655),(0.01248, 0.02508, 0.35538),(0.02498, 0.01710, 0.36857),(0.05148, 0.00872, 0.37535),(0.07894, -0.00286, 0.36614),
14.77944,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.08078, 0.01913, 0.29327),(0.01161, 0.00621, 0.31655),(0.01248, 0.02508, 0.35538),(0.02498, 0.01710, 0.36857),(0.05148, 0.00872, 0.37535),(0.07894, -0.00286, 0.36614),
14.79555,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07763, 0.03443, 0.29853),(0.00517, 0.03782, 0.30953),(0.00650, 0.05340, 0.36257),(0.01588, 0.03720, 0.37508),(0.04029, 0.02387, 0.38165),(0.06645, 0.00883, 0.37213),
14.81188,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07698, 0.03886, 0.30020),(0.00425, 0.04437, 0.31021),(0.00586, 0.05960, 0.36470),(0.01505, 0.04314, 0.37755),(0.03938, 0.02934, 0.38411),(0.06542, 0.01370, 0.37445),
14.85076,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07424, 0.04149, 0.29936),(0.00353, 0.06664, 0.30003),(0.00358, 0.07215, 0.36423),(0.01395, 0.06070, 0.38549),(0.03445, 0.03914, 0.38927),(0.05612, 0.01674, 0.37663),
14.86587,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07372, 0.04291, 0.29957),(0.00306, 0.06844, 0.30008),(0.00310, 0.07381, 0.36447),(0.01351, 0.06247, 0.38591),(0.03393, 0.04076, 0.38962),(0.05551, 0.01823, 0.37693),
