time,touch,,button_pos,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
0.24652099609375,NaN, NaN,0.00000, 0.15000,0.01014, -0.06397, 0.30096,0.05298, -0.08139, 0.33490,0.07253, -0.00101, 0.35443,0.05001, -0.00081, 0.37869,0.02034, -0.09732, 0.32030,0.00633, -0.09360, 0.32536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.254940032958984,NaN, NaN,0.00000, 0.15000,0.00918, -0.06291, 0.29997,0.05188, -0.08025, 0.33419,0.07101, 0.00073, 0.35328,0.04851, 0.00080, 0.37750,0.01965, -0.09613, 0.31967,0.00551, -0.09257, 0.32456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.264398574829102,NaN, NaN,0.00000, 0.15000,0.00918, -0.06291, 0.29997,0.05188, -0.08025, 0.33419,0.07101, 0.00073, 0.35328,0.04851, 0.00080, 0.37750,0.01965, -0.09613, 0.31967,0.00551, -0.09257, 0.32456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.274534225463867,NaN, NaN,0.00000, 0.15000,0.00796, -0.06171, 0.29867,0.05062, -0.07868, 0.33355,0.06931, 0.00246, 0.35190,0.04697, 0.00241, 0.37595,0.01830, -0.09478, 0.31890,0.00403, -0.09126, 0.32349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.282060623168945,NaN, NaN,0.00000, 0.15000,0.00796, -0.06171, 0.29867,0.05062, -0.07868, 0.33355,0.06931, 0.00246, 0.35190,0.04697, 0.00241, 0.37595,0.01830, -0.09478, 0.31890,0.00403, -0.09126, 0.32349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.291177749633789,NaN, NaN,0.00000, 0.15000,0.00796, -0.06171, 0.29867,0.05062, -0.07868, 0.33355,0.06931, 0.00246, 0.35190,0.04697, 0.00241, 0.37595,0.01830, -0.09478, 0.31890,0.00403, -0.09126, 0.32349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.300312042236328,NaN, NaN,0.00000, 0.15000,0.00638, -0.06037, 0.29674,0.04897, -0.07673, 0.33255,0.06771, 0.00399, 0.34978,0.04605, 0.00347, 0.37381,0.01600, -0.09332, 0.31760,0.00167, -0.08967, 0.32182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.308877944946289,NaN, NaN,0.00000, 0.15000,0.00638, -0.06037, 0.29674,0.04897, -0.07673, 0.33255,0.06771, 0.00399, 0.34978,0.04605, 0.00347, 0.37381,0.01600, -0.09332, 0.31760,0.00167, -0.08967, 0.32182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.317611694335938,NaN, NaN,0.00000, 0.15000,0.00538, -0.05927, 0.29555,0.04830, -0.07523, 0.33150,0.06701, 0.00536, 0.34799,0.04590, 0.00442, 0.37217,0.01491, -0.09218, 0.31663,0.00056, -0.08849, 0.32076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.326568603515625,NaN, NaN,0.00000, 0.15000,0.00538, -0.05927, 0.29555,0.04830, -0.07523, 0.33150,0.06701, 0.00536, 0.34799,0.04590, 0.00442, 0.37217,0.01491, -0.09218, 0.31663,0.00056, -0.08849, 0.32076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.335094451904297,NaN, NaN,0.00000, 0.15000,0.00435, -0.05852, 0.29468,0.04716, -0.07500, 0.33080,0.06696, 0.00533, 0.34706,0.04563, 0.00494, 0.37132,0.01337, -0.09166, 0.31591,-0.00093, -0.08771, 0.31992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.345182418823242,NaN, NaN,0.00000, 0.15000,0.00435, -0.05852, 0.29468,0.04716, -0.07500, 0.33080,0.06696, 0.00533, 0.34706,0.04563, 0.00494, 0.37132,0.01337, -0.09166, 0.31591,-0.00093, -0.08771, 0.31992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.352842330932617,NaN, NaN,0.00000, 0.15000,0.00241, -0.05772, 0.29342,0.04434, -0.07497, 0.33061,0.06494, 0.00411, 0.34824,0.04594, 0.00085, 0.37191,0.00996, -0.09137, 0.31501,-0.00437, -0.08698, 0.31851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.362081527709961,NaN, NaN,0.00000, 0.15000,0.00241, -0.05772, 0.29342,0.04434, -0.07497, 0.33061,0.06494, 0.00411, 0.34824,0.04594, 0.00085, 0.37191,0.00996, -0.09137, 0.31501,-0.00437, -0.08698, 0.31851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.370555877685547,NaN, NaN,0.00000, 0.15000,0.00241, -0.05772, 0.29342,0.04434, -0.07497, 0.33061,0.06494, 0.00411, 0.34824,0.04594, 0.00085, 0.37191,0.00996, -0.09137, 0.31501,-0.00437, -0.08698, 0.31851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
