time,gaze,,touch,,button_pos,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
0.200436592102051,NaN, NaN,NaN, NaN,0,0,0.01803, -0.05672, 0.33250,0.06200, -0.05073, 0.37276,0.05345, 0.01506, 0.39785,0.04906, -0.08526, 0.36656,0.02885, -0.09027, 0.35447,0.01217, -0.08664, 0.35607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.209650993347168,NaN, NaN,NaN, NaN,0,0,0.01803, -0.05672, 0.33250,0.06200, -0.05073, 0.37276,0.05345, 0.01506, 0.39785,0.04906, -0.08526, 0.36656,0.02885, -0.09027, 0.35447,0.01217, -0.08664, 0.35607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.21783447265625,NaN, NaN,NaN, NaN,0,0,0.01803, -0.05672, 0.33250,0.06200, -0.05073, 0.37276,0.05345, 0.01506, 0.39785,0.04906, -0.08526, 0.36656,0.02885, -0.09027, 0.35447,0.01217, -0.08664, 0.35607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.227023124694824,NaN, NaN,NaN, NaN,0,0,0.02003, -0.05628, 0.33147,0.06481, -0.05010, 0.37111,0.05639, 0.01539, 0.39622,0.04994, -0.08543, 0.36386,0.03051, -0.08977, 0.35363,0.01382, -0.08598, 0.35538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.235671520233154,NaN, NaN,NaN, NaN,0,0,0.02003, -0.05628, 0.33147,0.06481, -0.05010, 0.37111,0.05639, 0.01539, 0.39622,0.04994, -0.08543, 0.36386,0.03051, -0.08977, 0.35363,0.01382, -0.08598, 0.35538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.244663715362549,NaN, NaN,NaN, NaN,0,0,0.02133, -0.05594, 0.33099,0.06661, -0.04988, 0.37028,0.05826, 0.01549, 0.39559,0.05093, -0.08553, 0.36275,0.03171, -0.08950, 0.35314,0.01503, -0.08562, 0.35503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.252849102020264,NaN, NaN,NaN, NaN,0,0,0.02133, -0.05594, 0.33099,0.06661, -0.04988, 0.37028,0.05826, 0.01549, 0.39559,0.05093, -0.08553, 0.36275,0.03171, -0.08950, 0.35314,0.01503, -0.08562, 0.35503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.262619495391846,NaN, NaN,NaN, NaN,0,0,0.02240, -0.05539, 0.33074,0.06795, -0.04947, 0.36982,0.05946, 0.01600, 0.39534,0.05215, -0.08526, 0.36226,0.03290, -0.08904, 0.35288,0.01617, -0.08518, 0.35482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.270766735076904,NaN, NaN,NaN, NaN,0,0,0.02240, -0.05539, 0.33074,0.06795, -0.04947, 0.36982,0.05946, 0.01600, 0.39534,0.05215, -0.08526, 0.36226,0.03290, -0.08904, 0.35288,0.01617, -0.08518, 0.35482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.279574394226074,NaN, NaN,NaN, NaN,0,0,0.02314, -0.05484, 0.33076,0.06889, -0.04894, 0.36957,0.06016, 0.01654, 0.39546,0.05333, -0.08466, 0.36209,0.03397, -0.08857, 0.35280,0.01719, -0.08479, 0.35484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.287396430969238,NaN, NaN,NaN, NaN,0,0,0.02314, -0.05484, 0.33076,0.06889, -0.04894, 0.36957,0.06016, 0.01654, 0.39546,0.05333, -0.08466, 0.36209,0.03397, -0.08857, 0.35280,0.01719, -0.08479, 0.35484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.296743392944336,NaN, NaN,NaN, NaN,0,0,0.02314, -0.05484, 0.33076,0.06889, -0.04894, 0.36957,0.06016, 0.01654, 0.39546,0.05333, -0.08466, 0.36209,0.03397, -0.08857, 0.35280,0.01719, -0.08479, 0.35484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.305838108062744,NaN, NaN,NaN, NaN,0,0,0.02370, -0.05387, 0.33086,0.06961, -0.04802, 0.36948,0.06011, 0.01797, 0.39549,0.05553, -0.08296, 0.36351,0.03530, -0.08761, 0.35287,0.01839, -0.08400, 0.35503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
