time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
547.2942,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06654, 0.01273, 0.31277,0.03676, -0.01792, 0.34992,0.01572, 0.01386, 0.38342,0.07676, -0.01663, 0.32153,0.08774, -0.00765, 0.31942,0.09556, 0.00303, 0.32319
547.3031,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06669, 0.01345, 0.31218,0.03674, -0.01693, 0.34914,0.01564, 0.01462, 0.38264,0.07696, -0.01592, 0.32057,0.08778, -0.00708, 0.31878,0.09563, 0.00353, 0.32263
547.3128,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06669, 0.01345, 0.31218,0.03674, -0.01693, 0.34914,0.01564, 0.01462, 0.38264,0.07696, -0.01592, 0.32057,0.08778, -0.00708, 0.31878,0.09563, 0.00353, 0.32263
547.3224,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06675, 0.01407, 0.31155,0.03663, -0.01606, 0.34829,0.01551, 0.01526, 0.38183,0.07696, -0.01539, 0.31953,0.08774, -0.00662, 0.31810,0.09562, 0.00392, 0.32204
547.3314,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06675, 0.01407, 0.31155,0.03663, -0.01606, 0.34829,0.01551, 0.01526, 0.38183,0.07696, -0.01539, 0.31953,0.08774, -0.00662, 0.31810,0.09562, 0.00392, 0.32204
547.341,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06674, 0.01445, 0.31091,0.03658, -0.01539, 0.34755,0.01542, 0.01575, 0.38113,0.07705, -0.01502, 0.31857,0.08771, -0.00636, 0.31737,0.09559, 0.00414, 0.32137
547.3513,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06674, 0.01445, 0.31091,0.03658, -0.01539, 0.34755,0.01542, 0.01575, 0.38113,0.07705, -0.01502, 0.31857,0.08771, -0.00636, 0.31737,0.09559, 0.00414, 0.32137
547.3599,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06674, 0.01445, 0.31091,0.03658, -0.01539, 0.34755,0.01542, 0.01575, 0.38113,0.07705, -0.01502, 0.31857,0.08771, -0.00636, 0.31737,0.09559, 0.00414, 0.32137
547.3687,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06674, 0.01490, 0.30973,0.03651, -0.01452, 0.34627,0.01543, 0.01640, 0.37993,0.07716, -0.01460, 0.31708,0.08765, -0.00611, 0.31608,0.09556, 0.00434, 0.32013
547.3787,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06674, 0.01490, 0.30973,0.03651, -0.01452, 0.34627,0.01543, 0.01640, 0.37993,0.07716, -0.01460, 0.31708,0.08765, -0.00611, 0.31608,0.09556, 0.00434, 0.32013
